new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail,discount_percentage
148000.0,229000.0,35%,261.0,Serum Dưỡng Tóc TRESemmé Vào Nếp Suôn Mượt 100ml Mới,Keratin Smooth KeratinBond Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-duong-toc-tresemme-vao-nep-suon-muot-100ml-moi_vgrNQhzSb8MH8JYx_img_380x380_64adc6_fit_center.png,35.37117903930131
278000.0,398000.0,30%,133.0,Combo 2 Smoothie Tẩy Da Chết Dove Đường Nâu  Hương Dừa 298g,Moisturizing Body Scrub Sugar  Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_P1GSP9yj8GHxWSFs_img_380x380_64adc6_fit_center.png,30.15075376884422
245000.0,300000.0,18%,148.0,Combo 2 Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330mlchai,GlutaHya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211152-1689240954_img_380x380_64adc6_fit_center.jpg,18.333333333333332
139000.0,250000.0,44%,254.0,Smoothie Tẩy Da Chết Dove Đường Nâu  Hương Dừa 298g,Moisturizing Body Scrub Sugar  Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_Snn1ue9tAsJUwD3r_img_380x380_64adc6_fit_center.png,44.4
197000.0,264000.0,25%,156.0,Combo 2 Gel Rửa Mặt Simple Thanh Khiết Giảm Bóng Nhờn 150ml,Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-gel-rua-mat-simple-thanh-khiet-giam-bong-nhon-150ml_xfatvze4ELmbxA3V_img_380x380_64adc6_fit_center.png,25.37878787878788
188000.0,226000.0,17%,164.0,Sữa Tắm Dưỡng Thể Dove Sáng Da Rạng Rỡ  900g,ProCeramide Radiance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-tam-duong-the-dove-da-am-min-luu-huong-ngot-ngao-900g_hzNT4vHZbwKZtSBi_img_380x380_64adc6_fit_center.png,16.8141592920354
726000.0,1300000.0,44%,40.0,Bàn Chải Điện PS S100 Pro Sạch Mảng Bám Tới 10X Màu Đen,S100 Pro Expertcare,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-den_va74bCi23LBGRvTL_img_380x380_64adc6_fit_center.png,44.15384615384615
70000.0,97000.0,28%,405.0,Lăn Ngăn Mùi Dove Tinh Chất Serum Sáng Mịn Đều Màu 45ml,Deodorant Serum 3% Niacinamide  10X Collagen,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-lan-ngan-mui-dove-tinh-chat-serum-sang-min-deu-mau-45ml_TyPm5fE9Cwf1YGbU_img_380x380_64adc6_fit_center.png,27.835051546391753
82000.0,210000.0,61%,339.0,Nước Tẩy Trang Simple Làm Sạch Trang Điểm 200ml,Kind To Skin Micellar Cleansing Water,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-211300005-1731657239_img_380x380_64adc6_fit_center.jpg,60.952380952380956
287000.0,380000.0,24%,96.0,Kem Dưỡng Da Ponds Ngăn Ngừa Lão Hoá Cho Ban Đêm 45g,Age Miracle Night Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-ngan-ngua-lao-hoa-cho-ban-dem-50g-1713945200_img_380x380_64adc6_fit_center.jpg,24.47368421052632
72000.0,105000.0,31%,381.0,Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml,Deodorant Dry Serum 3% Niacinamide  10X Vit CE,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-ngan-mui-dove-giup-mo-tham-thu-nho-lo-chan-long-40ml_6qv4R5Jq28Kuq4tq_img_380x380_64adc6_fit_center.png,31.428571428571427
75000.0,89000.0,16%,355.0,Son Dưỡng Có Màu Vaseline Hồng Cam Êm Dịu 3g,Colour  Care Mellow Rose,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-son-duong-co-mau-vaseline-hong-cam-em-diu-3g-1734324877_img_380x380_64adc6_fit_center.jpg,15.730337078651685
147000.0,198000.0,26%,179.0,Dầu Gội Clear 9 Thảo Dược Chăm Sóc Da Đầu Yếu 630g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-dau-goi-sach-gau-clear-thao-duoc-cham-soc-da-dau-yeu-630g-1727064943_img_380x380_64adc6_fit_center.jpg,25.757575757575758
91000.0,139000.0,35%,288.0,Sữa Tắm Hazeline Sáng Mịn Rạng Ngời Matcha  Lựu Đỏ 1kg,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208317-1689233438_img_380x380_64adc6_fit_center.jpg,34.53237410071942
109000.0,157000.0,31%,240.0,Sữa Tắm Lux Botanicals Hương Phong Lan Quyến Rũ 570g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214293-1692937668_img_380x380_64adc6_fit_center.png,30.573248407643312
225000.0,589000.0,62%,115.0,Combo Simple Chăm Sóc Làn Da Dầu Mụn 3 Món,Kind To Skin Micellar Cleansing Water  Purifying Gel Wash  Kind to Skin Soothing Facial Toner,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214577-1731902426_img_380x380_64adc6_fit_center.jpg,61.79966044142614
99000.0,150000.0,34%,261.0,Sữa Dưỡng Thể Vaseline Dịu Mát Sáng Da 350ml,Healthy Bright Fresh  Bright Cooling UV Niacinamide Lotion,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-duong-the-vaseline-diu-mat-sang-da-350ml_hhNDghhaqoBCi1nV_img_380x380_64adc6_fit_center.png,34.0
178000.0,226000.0,21%,142.0,Sữa Tắm Dưỡng Thể Dove Tươi Mát Da Sảng Khoái 900g,ProCeramide Invigorating,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-tam-duong-the-dove-da-bong-min-luu-huong-thom-mat-900g_KMwBJWPTaSvbeDQp_img_380x380_64adc6_fit_center.png,21.238938053097346
135000.0,155000.0,13%,183.0,Kem Xả Dove Phục Hồi Hư Tổn Cho Tóc Chắc Khỏe Mới 610g,Unknown,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-xa-dove-phuc-hoi-hu-ton-cho-toc-chac-khoe-moi-610g-1650003974-1719903905_img_380x380_64adc6_fit_center.jpg,12.903225806451612
46000.0,58000.0,21%,12.0,Kem Đánh Răng Perioe Total7 Trắng Răng Hơi Thở Thơm Mát 120g,Total7 Intense Freezing Cooling Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-trang-rang-hoi-tho-thom-mat-120g-1719461271_img_380x380_64adc6_fit_center.jpg,20.689655172413794
46000.0,58000.0,21%,4.0,Kem Đánh Răng Perioe Total7 Trắng Răng Bảo Vệ Nướu 120g,Total7 Intense Refresh Cooling Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-trang-rang-bao-ve-nuou-120g-1719460588_img_380x380_64adc6_fit_center.jpg,20.689655172413794
46000.0,58000.0,21%,4.0,Kem Đánh Răng Perioe Total7 Hương Bạc Hà 120g,Total7 Intense Cleanmint Repair Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-huong-bac-ha-120g-1719459732_img_380x380_64adc6_fit_center.jpg,20.689655172413794
46000.0,58000.0,21%,3.0,Kem Đánh Răng Perioe Total7 Vị Nguyên Bản 120g,Total7 Intense Original Repair Toothpaste,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-danh-rang-perioe-total7-vi-nguyen-ban-120g-1719459210_img_380x380_64adc6_fit_center.jpg,20.689655172413794
38000.0,55000.0,31%,0.0,Kem Đánh Răng Perioe Ngăn Ngừa Sâu Răng 180g,Total Cavity Care,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211918-1689654947_img_380x380_64adc6_fit_center.jpg,30.909090909090907
531000.0,715000.0,26%,1.168,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml Bản Mới 2024,Perfect UV Sunscreen Skincare Milk N SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-moi_XKB1Gebm1b5Rkzrv_img_380x380_64adc6_fit_center.png,25.734265734265733
534000.0,715000.0,25%,854.0,Sữa Chống Nắng Anessa Cho Da Nhạy Cảm  Trẻ Em 60ml Mới,Perfect UV Sunscreen Mild Milk For Sensitive Skin SPF50PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi_FJzr11wusyMQHETs_img_380x380_64adc6_fit_center.png,25.314685314685313
429000.0,575000.0,25%,191.0,Gel Chống Nắng Anessa Dưỡng Ẩm Bảo Vệ Hoàn Hảo 90g Mới,Perfect UV Sunscreen Skincare Gel N SPF50PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-duong-am-bao-ve-hoan-hao-90g-moi_YGrU14xaJyWtfmZq_img_380x380_64adc6_fit_center.png,25.39130434782609
456000.0,575000.0,21%,178.0,Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g Mới,Brightening Uv Sunscreen Gel N SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-duong-sang-nang-tong-90g-moi_BSXYMGEwKCYYKUhs_img_380x380_64adc6_fit_center.png,20.695652173913043
240000.0,285000.0,16%,241.0,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 20ml Mới,Perfect UV Sunscreen Skincare Milk N SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-20ml-moi_62L5Hp8SGfua5UWV_img_380x380_64adc6_fit_center.png,15.789473684210526
664000.0,850000.0,22%,52.0,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml,Day Serum SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-chong-nang-anessa-duong-da-nang-tong-30ml_63m4zmtGCnz8aqbE_img_380x380_64adc6_fit_center.png,21.88235294117647
802000.0,1000000.0,20%,41.0,Combo 2 Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml20ml Bản Mới 2024,Perfect UV Sunscreen Skincare Milk N SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-20ml-moi_DkqhSyq1BcRY9zXU_img_380x380_64adc6_fit_center.png,19.8
234000.0,390000.0,40%,91.0,Bọt Rửa Mặt d program Giúp Làm Sạch Và Cung Cấp Ẩm Da 120g,Essence In Cleansing Foam,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200367-1732764379_img_380x380_64adc6_fit_center.jpg,40.0
363000.0,455000.0,20%,48.0,Xịt Chống Nắng Anessa Dưỡng Da Đa Năng 60g Mới,Perfect UV Sunscreen Skincare Spray N SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-xit-chong-nang-anessa-duong-da-da-nang-60g-moi_gUUwmLastynFasPE_img_380x380_64adc6_fit_center.png,20.21978021978022
487000.0,750000.0,35%,25.0,Kem Dưỡng d program Hỗ Trợ Phục Hồi Da 45g,Skin Repair Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208061-1732765959_img_380x380_64adc6_fit_center.jpg,35.06666666666667
471000.0,550000.0,14%,14.0,Sữa Chống Nắng Elixir Nâng Tông Kiềm Dầu 35g,Reflet Balancing Oshiroi Milk C SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-kiem-dau-35g_m2CqhKMB8rgMT4kJ_img_380x380_64adc6_fit_center.png,14.363636363636365
487000.0,575000.0,15%,13.0,Gel Chống Nắng Anessa Cho Da Nhạy Cảm  Trẻ Em 90g Mới,Mineral UV Sunscreen Mild Gel For Sensitive Skin SPF35PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-chong-nang-anessa-cho-da-nhay-cam-tre-em-90g-moi_oXooPBWXWxAUvYFf_img_380x380_64adc6_fit_center.png,15.304347826086955
792000.0,990000.0,20%,7.0,Sữa Chống Nắng Elixir Nâng Tông Ngừa Lão Hóa 35g,Day Care Revolution ToneUp SPF50 PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-elixir-nang-tong-ngua-lao-hoa-35g_KxKr3YBQd4poYNAb_img_380x380_64adc6_fit_center.png,20.0
367000.0,490000.0,25%,15.0,Dầu Tẩy Trang d program Dành Cho Da Nhạy Cảm 120ml,Essence In Cleansing Oil,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422200365-1732765769_img_380x380_64adc6_fit_center.jpg,25.102040816326532
1180000.0,1390000.0,15%,4.0,Serum Elixir Hỗ Trợ Săn Chắc Da Ngừa Lão Hóa 40ml,Superieur Design Time Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-elixir-ho-tro-san-chac-da-ngua-lao-hoa-40ml_d4R6B9DC8t3yZbfX_img_380x380_64adc6_fit_center.png,15.107913669064748
472000.0,690000.0,32%,9.0,Tinh Chất Chống Nắng d program Kiềm Dầu SPF 50 PA 40ml,Allerdefense Essence N,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206141-1705051028_img_380x380_64adc6_fit_center.jpg,31.594202898550726
394000.0,590000.0,33%,11.0,BB Chống Nắng Trang Điểm d program Tông Sáng 30ml,Allerdefense Essence BB Light SPF50 PA,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422206144-1705051494_img_380x380_64adc6_fit_center.jpg,33.220338983050844
1016000.0,1430000.0,29%,4.0,Combo 2 Sữa Chống Nắng Anessa Cho Da Nhạy Cảm  Trẻ Em 60ml Mới,Perfect UV Sunscreen Mild Milk For Sensitive Skin SPF50PA,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi_2pYpxgs5J5HvJYQN_img_380x380_64adc6_fit_center.png,28.951048951048953
765000.0,900000.0,15%,5.0,Serum d program Dưỡng Sáng Da Dạng Jelly 60g,Whitening Jelly Clear Essence,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200010-1705114546_img_380x380_64adc6_fit_center.jpg,15.0
471000.0,550000.0,14%,7.0,Sữa Rửa Mặt Elixir 2 Trong 1 Dưỡng Ẩm Ngừa Lão Hóa 140ml,Superieur MoistIn Cleanser,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-elixir-2-trong-1-duong-am-ngua-lao-hoa-140ml_pxuW6Ew7twzM384F_img_380x380_64adc6_fit_center.png,14.363636363636365
517000.0,690000.0,25%,6.0,Serum d program Dưỡng Da Bảo Vệ Chuyên Sâu 40ml,Thermo Defense Serum,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422202864-1705051849_img_380x380_64adc6_fit_center.jpg,25.072463768115945
544000.0,890000.0,39%,5.0,Sữa Dưỡng d program Dành Cho Da Mụn 100ml,Acne Care Emulsion,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-419200006-1705115628_img_380x380_64adc6_fit_center.jpg,38.87640449438202
