new_price,old_price,discount,sold,vn_name,en_name,url_thumbnail
726.000 ₫,1.300.000 ₫,44%,90,Bàn Chải Điện P/S S100 Pro Sạch Mảng Bám Tới 10X Màu Xanh,S100 Pro Expertcare,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-xanh-ombre_cNLuTjZCmhfDw6yK_img_380x380_64adc6_fit_center.png
76.000 ₫,105.000 ₫,28%,840,Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml,Deodorant Dry Serum 3% Niacinamide + 10X Collagen,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-khu-mui-dove-collagen-b3-duong-sang-deu-mau-40ml_f5DsTn81VR3gbdTU_img_380x380_64adc6_fit_center.png
143.000 ₫,214.500 ₫,33%,401,Sữa Tắm Lifebuoy Detox Thảo Dược & Hoa Sen 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-thao-duoc-hoa-sen-800g-1718682474_img_380x380_64adc6_fit_center.jpg
91.000 ₫,139.000 ₫,35%,585,Sữa Tắm Hazeline Sáng Mịn Dưỡng Ẩm Yến Mạch & Dâu Tằm 1kg,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208316-1689233754_img_380x380_64adc6_fit_center.jpg
158.000 ₫,234.000 ₫,32%,327,Sữa Tắm Lifebuoy Detox Muối Hồng & Rau Má 800g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sua-tam-lifebuoy-detox-dau-tram-tra-muoi-hong-800g-1720692667_img_380x380_64adc6_fit_center.jpg
200.000 ₫,264.000 ₫,24%,219,Combo 2 Sữa Rửa Mặt Simple Giúp Da Sạch Thoáng 150ml,Kind To Skin Refreshing Facial Wash Gel,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-sua-rua-mat-simple-giup-da-sach-thoang-150ml_EdfDMsTUHJtE2ypW_img_380x380_64adc6_fit_center.png
65.000 ₫,82.000 ₫,21%,609,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,Lip Therapy Rosy Lips,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-sap-duong-moi-hong-xinh-vaseline-7g-1726631121_img_380x380_64adc6_fit_center.jpg
148.000 ₫,229.000 ₫,35%,261,Serum Dưỡng Tóc TRESemmé Vào Nếp Suôn Mượt 100ml (Mới),Keratin Smooth KeratinBond+ Serum,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-duong-toc-tresemme-vao-nep-suon-muot-100ml-moi_vgrNQhzSb8MH8JYx_img_380x380_64adc6_fit_center.png
278.000 ₫,398.000 ₫,30%,133,Combo 2 Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,Moisturizing Body Scrub Sugar & Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_P1GSP9yj8GHxWSFs_img_380x380_64adc6_fit_center.png
245.000 ₫,300.000 ₫,18%,148,Combo 2 Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm (330ml/chai),Gluta-Hya Serum Burst UV Lotion Dewy Radiance,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422211152-1689240954_img_380x380_64adc6_fit_center.jpg
139.000 ₫,250.000 ₫,44%,254,Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,Moisturizing Body Scrub Sugar & Coconut Fragrance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g_Snn1ue9tAsJUwD3r_img_380x380_64adc6_fit_center.png
197.000 ₫,264.000 ₫,25%,156,"Combo 2 Gel Rửa Mặt Simple Thanh Khiết, Giảm Bóng Nhờn 150ml",Purifying Gel Wash,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-2-gel-rua-mat-simple-thanh-khiet-giam-bong-nhon-150ml_xfatvze4ELmbxA3V_img_380x380_64adc6_fit_center.png
188.000 ₫,226.000 ₫,17%,164,Sữa Tắm Dưỡng Thể Dove Sáng Da Rạng Rỡ  900g,Pro-Ceramide Radiance,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-tam-duong-the-dove-da-am-min-luu-huong-ngot-ngao-900g_hzNT4vHZbwKZtSBi_img_380x380_64adc6_fit_center.png
726.000 ₫,1.300.000 ₫,44%,40,Bàn Chải Điện P/S S100 Pro Sạch Mảng Bám Tới 10X Màu Đen,S100 Pro Expertcare,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-den_va74bCi23LBGRvTL_img_380x380_64adc6_fit_center.png
70.000 ₫,97.000 ₫,28%,405,Lăn Ngăn Mùi Dove Tinh Chất Serum Sáng Mịn Đều Màu 45ml,Deodorant Serum 3% Niacinamide + 10X Collagen,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-lan-ngan-mui-dove-tinh-chat-serum-sang-min-deu-mau-45ml_TyPm5fE9Cwf1YGbU_img_380x380_64adc6_fit_center.png
82.000 ₫,210.000 ₫,61%,339,Nước Tẩy Trang Simple Làm Sạch Trang Điểm 200ml,Kind To Skin Micellar Cleansing Water,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-211300005-1731657239_img_380x380_64adc6_fit_center.jpg
287.000 ₫,380.000 ₫,24%,96,Kem Dưỡng Da Pond's Ngăn Ngừa Lão Hoá Cho Ban Đêm 45g,Age Miracle Night Cream,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-duong-da-pond-s-ngan-ngua-lao-hoa-cho-ban-dem-50g-1713945200_img_380x380_64adc6_fit_center.jpg
72.000 ₫,105.000 ₫,31%,381,Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml,Deodorant Dry Serum 3% Niacinamide + 10X Vit C&E,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-ngan-mui-dove-giup-mo-tham-thu-nho-lo-chan-long-40ml_6qv4R5Jq28Kuq4tq_img_380x380_64adc6_fit_center.png
75.000 ₫,89.000 ₫,16%,355,Son Dưỡng Có Màu Vaseline Hồng Cam Êm Dịu 3g,Colour + Care #Mellow Rose,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-son-duong-co-mau-vaseline-hong-cam-em-diu-3g-1734324877_img_380x380_64adc6_fit_center.jpg
147.000 ₫,198.000 ₫,26%,179,Dầu Gội Clear 9 Thảo Dược Chăm Sóc Da Đầu Yếu 630g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-dau-goi-sach-gau-clear-thao-duoc-cham-soc-da-dau-yeu-630g-1727064943_img_380x380_64adc6_fit_center.jpg
91.000 ₫,139.000 ₫,35%,288,Sữa Tắm Hazeline Sáng Mịn Rạng Ngời Matcha & Lựu Đỏ 1kg,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208317-1689233438_img_380x380_64adc6_fit_center.jpg
109.000 ₫,157.000 ₫,31%,240,Sữa Tắm Lux Botanicals Hương Phong Lan Quyến Rũ 570g,,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214293-1692937668_img_380x380_64adc6_fit_center.png
225.000 ₫,589.000 ₫,62%,115,Combo Simple Chăm Sóc Làn Da Dầu Mụn 3 Món,Kind To Skin Micellar Cleansing Water + Purifying Gel Wash + Kind to Skin Soothing Facial Toner,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422214577-1731902426_img_380x380_64adc6_fit_center.jpg
99.000 ₫,150.000 ₫,34%,261,Sữa Dưỡng Thể Vaseline Dịu Mát Sáng Da 350ml,Healthy Bright Fresh & Bright Cooling UV Niacinamide Lotion,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-duong-the-vaseline-diu-mat-sang-da-350ml_hhNDghhaqoBCi1nV_img_380x380_64adc6_fit_center.png
178.000 ₫,226.000 ₫,21%,142,"Sữa Tắm Dưỡng Thể Dove Tươi Mát, Da Sảng Khoái 900g",Pro-Ceramide Invigorating,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-tam-duong-the-dove-da-bong-min-luu-huong-thom-mat-900g_KMwBJWPTaSvbeDQp_img_380x380_64adc6_fit_center.png
